51300003960,gee,60,103
51300027284,ddf,243,45
51300039702,cbc,140,287
51300058694,gfg,47,207
51300122537,bfb,47,224
51300123050,cbd,297,52
51300145977,abf,142,92
51300208703,efe,19,187
51300229006,fba,55,296
51300238642,fgd,62,47
51300288442,gda,56,188
51300289523,egb,67,281
51300292072,gae,178,15
51300303099,eed,23,291
51300330529,dde,205,24
51300365188,gac,21,47
51300381568,dbc,169,12
51300399599,cag,216,243
51300402506,dce,101,263
51300439282,gdc,37,69
51300477828,abc,34,275
51300586431,cda,101,245
51300646443,cfa,177,207
51300647605,fea,105,187
51300670275,cge,163,263
51300709868,eda,48,235
51300730229,cfd,151,109
51300733509,dac,225,135
51300876493,gbe,165,144
51300915325,fdg,141,53
51300925989,adg,253,105
51300930378,fbf,137,143
51300932996,abg,275,194
51300937057,cdd,217,40
51301093552,fad,199,53
51301106777,geb,167,176
51301111378,aga,121,13
51301162374,adf,218,52
51301200652,daa,130,136
51301212938,bdf,214,64
51301216299,gbb,248,255
51301264278,aaa,243,146
51301276157,gga,69,116
51301290798,cfc,51,258
51301305983,ccg,78,272
51301341905,bad,45,77
51301349244,ege,88,276
51301389905,bae,38,124
51301390996,deg,75,137
51301434738,gfg,239,231
51301482327,fge,139,123
51301506996,bff,177,95
51301526356,aea,289,226
51301541981,gaa,218,9
51301548640,fdg,128,57
51301601803,bdb,245,274
51301612992,bde,136,160
51301705685,cbe,4,33
51301707154,cga,100,174
51301712173,dfd,129,54
51301717303,dga,227,85
51301730921,dge,263,132
51301762624,dca,32,130
51301767236,fgd,246,50
51301814272,cde,160,10
51301871655,ecd,17,190
51301879407,bdb,16,249
51301899075,dda,128,94
51301909071,gfc,61,115
51301934471,bgf,173,252
51301944643,bbb,238,17
51301947921,acb,155,67
51301992379,fbd,79,50
51302027945,gad,192,117
51302040740,fca,244,75
51302096097,eaa,292,49
51302098958,edb,258,281
51302099480,dgf,131,260
51302150325,bee,138,126
51302223437,ega,271,221
51302240240,ace,110,59
51302259330,gbg,126,118
51302267076,bbe,45,178
51302285079,fbg,266,210
51302338080,dbd,107,216
51302348534,bfb,94,232
51302401708,gba,18,247
51302421100,dba,33,37
51302530882,ece,230,207
51302562383,daf,270,9
51302566964,bcd,41,96
51302588326,dce,82,213
51302590094,ddg,126,183
51302597702,fac,142,9
51302630591,dae,34,268
51302631503,aga,17,12
51302702519,ebb,100,248
51302711450,bbc,222,199
51302732349,ecc,9,201
51302734841,dee,37,295
51302749085,abc,40,250
51302790766,cee,197,236
51302795775,acg,107,204
51302797265,gde,1,263
51302802772,cbb,20,22
51302911776,cbc,15,324
51302933379,fda,3,273
51302956746,fcg,141,149
51302960612,bgd,91,51
51302962237,dba,167,29
51302966457,gdf,219,168
51302981708,bfd,175,87
51303018976,cdd,115,40
51303065365,agd,43,50
51303086545,aag,152,149
51303103227,bad,7,65
51303110538,adg,6,111
51303150324,ege,106,251
51303172808,bca,273,55
51303187455,gcd,250,165
51303198168,ccf,56,171
51303213416,aab,266,182
51303230534,ded,230,46
51303258832,dcf,294,270
51303272584,cef,45,142
51303315714,fec,248,142
51303352699,efd,155,52
51303358644,bdf,213,61
51303380739,ged,54,114
51303390897,eab,67,86
51303434174,gad,295,94
51303463614,dee,77,256
51303479218,egd,181,293
51303511925,cec,87,188
51303540680,eec,82,257
51303544041,abb,182,282
51303548578,fgd,196,44
51303568114,gec,297,23
51303605881,dgg,76,47
51303606644,efd,259,59
51303622865,gca,228,247
51303636634,aad,282,231
51303662815,fgg,62,114
51303669562,bef,125,250
51303675605,fdf,224,291
51303712412,cda,243,208
51303755350,fbd,229,43
51303814307,gga,195,112
51303865993,cfg,74,175
51303874323,afc,242,135
51303874734,deb,52,135
51303897369,aag,297,138
51303905142,aff,87,166
51303913775,bfd,21,87
51303955930,edf,36,113
51303959199,abc,262,287
51303999138,fdb,198,126
51304079796,geb,125,144
51304089787,beg,253,151
51304127608,daf,282,8
51304154486,ege,157,261
51304179194,fee,99,273
51304203321,fgc,130,170
51304204987,cfd,33,125
51304208528,bbd,296,212
51304224328,cdb,228,240
51304244696,fdd,250,121
51304249127,dea,154,228
51304259065,dcg,125,15
51304294833,egg,97,260
51304303540,bfd,174,84
51304317992,dcc,42,183
51304372961,ede,84,252
51304393300,gfa,283,182
51304419421,aff,278,154
51304432410,fgc,110,175
51304507946,aeb,266,153
51304519921,aec,100,139
51304520639,eea,204,216
51304581292,agc,289,104
51304592939,ace,34,60
51304598313,gdg,222,288
51304613033,cdf,34,120
51304666901,eae,181,247
51304680219,age,179,192
51304680740,dag,217,79
51304724350,bcc,15,270
51304746736,deb,28,156
51304764961,eff,198,69
51304765646,dcd,290,64
51304810745,gea,196,81
51304822416,dbe,39,19
51304823345,edc,149,229
51304823761,eab,28,81
51304827614,bca,277,52
51304851665,cge,220,312
51304860580,aab,133,172
51304885216,efc,210,162
51304928762,eef,231,209
51304965922,fdb,12,105
51304988870,ffb,219,285
51305001232,cbb,153,18
51305013797,eee,97,186
51305046745,adc,133,209
51305047074,beg,106,152
51305062354,gce,58,274
51305098630,afe,260,131
51305105892,bae,115,106
51305177092,afa,70,50
51305179024,aae,97,196
51305181181,gcd,148,140
51305191094,ced,54,237
51305200158,dfb,243,7
51305219369,ggg,207,53
51305239415,baa,188,264
51305240164,eba,15,118
51305286077,cbe,32,35
51305289257,fba,212,248
51305290006,ceg,153,203
51305298068,ebe,37,288
51305301904,gff,108,177
51305323831,aab,61,204
51305330267,efa,226,129
51305364244,dad,28,47
51305384649,ega,235,232
51305385610,ged,212,114
51305413470,gbe,179,138
51305433223,edf,128,92
51305435457,bfa,60,187
51305445787,eaf,75,252
51305451107,cgb,71,271
51305467982,ace,149,63
51305492784,ged,79,96
51305500566,gda,145,150
51305541393,ggd,41,198
51305561313,cdb,162,206
51305578717,fab,298,146
51305585266,aea,253,223
51305587749,cfb,211,242
51305593334,acf,198,290
51305622192,dgc,72,100
51305626838,aee,156,26
51305637862,ffg,88,98
51305663232,gcb,110,40
51305663474,aad,60,210
51305667992,bdg,227,240
51305679057,dbg,207,241
51305702444,aaa,206,169
51305715876,bbg,283,242
51305735630,faa,243,210
51305762798,fbg,68,170
51305772567,gef,54,262
51305776753,eac,166,230
51305793136,gbd,283,63
51305810520,fcd,100,242
51305811556,ace,28,64
51305811784,fbd,262,49
51305827140,ada,107,187
51305838853,efg,272,42
51305841299,fbe,12,196
51305862622,eef,221,219
51305872619,caa,133,200
51305881537,ade,293,89
51305922975,dgf,150,299
51305951374,bcf,4,133
51305962638,edc,251,256
51305973910,ddd,135,270
51306016059,edc,71,245
51306023483,ccc,158,117
51306060624,fcc,35,28
51306085261,eae,37,261
51306089470,cef,280,119
51306118658,gba,57,242
51306153001,dfb,275,7
51306168485,eda,37,279
51306229786,fag,189,161
51306263043,fga,139,171
51306273617,acg,169,191
51306280653,fcf,178,195
51306285655,fgb,272,101
51306288694,bab,193,20
51306322871,eab,135,85
51306351798,fdd,72,110
51306365797,dcb,294,242
51306377511,bdd,37,37
51306389298,bcc,62,237
51306399497,fad,28,58
51306417575,afa,134,53
51306423784,gba,123,287
51306427750,afb,268,192
51306430418,bdd,178,43
51306438128,bde,39,190
51306447433,bee,45,138
51306487451,fgd,196,49
51306489894,fdc,136,228
51306498871,dfc,228,100
51306518303,bac,194,120
51306556755,aca,41,45
51306597263,dae,182,318
51306597662,bff,207,102
51306604517,aec,250,164
51306606446,gdc,247,61
51306615201,fff,156,143
51306622571,dgf,171,349
51306623591,ffa,124,51
51306627061,cga,211,140
51306645447,dge,181,120
51306673041,ebc,144,212
51306673114,ega,20,208
51306681937,abf,116,91
51306696299,gcf,170,228
51306705839,dfg,234,61
51306709892,cgg,229,70
51306711262,aff,95,138
51306724709,bgd,170,45
51306742524,fdg,234,46
51306743229,dab,200,181
51306778977,def,7,270
51306779238,gfe,109,166
51306779837,abc,82,298
51306780192,ada,282,172
51306793162,gfb,11,71
51306799113,fca,233,71
51306814191,bag,33,279
51306815631,dgb,24,229
51306819606,cfe,175,39
51306836671,bfa,207,185
51306843256,ead,77,143
51306848833,eda,205,234
51306849744,bga,116,204
51306854680,eca,195,35
51306919754,bea,118,53
51306921655,afg,72,20
51306926245,fce,212,167
51306927043,age,166,167
51306948967,gdb,169,282
51306973914,bgb,35,284
51306986425,ddd,3,297
51306998825,fge,14,146
51307003986,gdc,131,61
51307026327,eed,290,320
51307029053,dgc,18,108
51307056589,acc,288,26
51307066277,dfg,22,64
51307072043,afa,284,60
51307087348,aaf,95,223
51307095780,ceb,112,59
51307102489,ggf,107,132
51307131467,cfg,145,197
51307131882,bbd,124,228
51307157637,efa,5,140
51307171098,gdd,47,181
51307211190,gcd,193,134
51307222720,fbg,167,192
51307229113,fea,139,173
51307255075,aac,208,85
51307259109,bca,14,42
51307262282,edg,12,121
51307269889,abe,245,25
51307280122,eae,218,263
51307306163,ebc,12,190
51307315573,agf,260,243
51307326150,eag,299,30
51307329471,gbf,272,226
51307359991,ddb,253,235
51307434692,fde,224,246
51307450566,fea,55,157
51307463185,gbg,60,125
51307463549,abd,282,126
51307477046,eeg,271,238
51307494501,dab,280,195
51307510044,dga,281,94
51307515020,bgg,212,31
51307595883,efe,85,187
51307610863,ggd,258,203
51307614094,cfb,52,263
51307630505,abc,9,283
51307631279,ded,195,37
51307641156,cge,231,330
51307642930,adg,128,105
51307646113,edd,31,262
51307652568,aff,287,136
51307665490,gac,108,55
51307673431,dbc,298,11
51307691127,fbc,54,166
51307746821,dbb,73,186
51307748904,bbf,291,80
51307752036,gdf,217,154
51307760907,cdg,173,123
51307786663,fcc,7,22
51307803964,aef,127,62
51307808372,ccd,85,214
51307830670,ebf,145,106
51307854430,gcd,294,146
51307864500,dbg,153,257
51307878146,dgd,48,40
51307882842,ecd,34,182
51307884020,ddf,97,52
51307915690,gde,266,289
